,precision,recall,f1-score,support
0,0.8208,0.8286,0.8246,105.0
1,0.7534,0.7432,0.7483,74.0
accuracy,0.7933,0.7933,0.7933,0.7933
macro avg,0.7871,0.7859,0.7865,179.0
weighted avg,0.7929,0.7933,0.7931,179.0
